Plot_ID,Median,Mode
18-OBR-YTBW-B5I-1806,57,45
18-OBR-YTBW-B5I-1807,48,42
18-OBR-YTBW-B5I-1808,83,59
18-OBR-YTBW-B5I-1809,66,40
18-OBR-YTBW-B5I-1810,61,45
18-OBR-YTBW-B5I-1811,55,51
18-OBR-YTBW-B5I-1812,60,43
18-OBR-YTBW-B5I-1813,48,40
18-OBR-YTBW-B5I-1814,53,43
18-OBR-YTBW-B5I-1815,56,45
18-OBR-YTBW-B5I-1816,68,51
18-OBR-YTBW-B5I-1817,43,35
18-OBR-YTBW-B5I-1818,66,42
18-OBR-YTBW-B5I-1819,52,41
18-OBR-YTBW-B5I-1820,56,43
18-OBR-YTBW-B5I-1821,48,38
18-OBR-YTBW-B5I-1822,55,51
18-OBR-YTBW-B5I-1823,74,54
18-OBR-YTBW-B5I-1824,52,47
18-OBR-YTBW-B5I-1825,62,45
18-OBR-YTBW-B5I-1826,64,45
18-OBR-YTBW-B5I-1827,72,50
18-OBR-YTBW-B5I-1828,71,53
18-OBR-YTBW-B5I-1829,70,54
18-OBR-YTBW-B5I-1830,63,44
18-OBR-YTBW-B5I-1831,66,52
18-OBR-YTBW-B5I-1832,60,49
18-OBR-YTBW-B5I-1833,66,50
18-OBR-YTBW-B5I-1834,64,47
18-OBR-YTBW-B5I-1835,62,48
18-OBR-YTBW-B5I-1836,49,43
18-OBR-YTBW-B5I-1837,77,51
18-OBR-YTBW-B5I-1838,63,47
18-OBR-YTBW-B5I-1839,77,61
18-OBR-YTBW-B5I-1840,68,54
18-OBR-YTBW-B5I-1841,49,47
18-OBR-YTBW-B5I-1842,61,46
18-OBR-YTBW-B5I-1843,65,47
18-OBR-YTBW-B5I-1844,76,52
18-OBR-YTBW-B5I-1845,62,51
18-OBR-YTBW-B5I-1846,71,52
18-OBR-YTBW-B5I-1847,62,48
18-OBR-YTBW-B5I-1848,71,56
18-OBR-YTBW-B5I-1849,55,48
18-OBR-YTBW-B5I-1850,71,58
18-OBR-YTBW-B5I-1851,61,55
18-OBR-YTBW-B5I-1852,70,50
18-OBR-YTBW-B5I-1853,68,49
18-OBR-YTBW-B5I-1854,76,48
18-OBR-YTBW-B5I-1855,68,53
18-OBR-YTBW-B5I-1856,55,52
18-OBR-YTBW-B5I-1857,78,55
18-OBR-YTBW-B5I-1858,88,63
18-OBR-YTBW-B5I-1859,55,48
18-OBR-YTBW-B5I-1860,68,49
18-OBR-YTBW-B5I-1901,71,55
18-OBR-YTBW-B5I-1902,67,53
18-OBR-YTBW-B5I-1903,61,54
18-OBR-YTBW-B5I-1904,58,50
18-OBR-YTBW-B5I-1905,58,51
18-OBR-YTBW-B5I-1906,65,52
18-OBR-YTBW-B5I-1907,55,46
18-OBR-YTBW-B5I-1908,56,43
18-OBR-YTBW-B5I-1909,84,47
18-OBR-YTBW-B5I-1910,73,46
18-OBR-YTBW-B5I-1911,80,54
18-OBR-YTBW-B5I-1912,54,48
18-OBR-YTBW-B5I-1913,59,45
18-OBR-YTBW-B5I-1914,56,49
18-OBR-YTBW-B5I-1915,56,46
18-OBR-YTBW-B5I-1916,66,46
18-OBR-YTBW-B5I-1917,52,43
18-OBR-YTBW-B5I-1918,66,43
18-OBR-YTBW-B5I-1919,63,48
18-OBR-YTBW-B5I-1920,72,44
18-OBR-YTBW-B5I-1921,69,51
18-OBR-YTBW-B5I-1922,71,53
18-OBR-YTBW-B5I-1923,65,48
18-OBR-YTBW-B5I-1924,60,49
18-OBR-YTBW-B5I-1925,80,56
18-OBR-YTBW-B5I-1926,82,55
18-OBR-YTBW-B5I-1927,59,51
18-OBR-YTBW-B5I-1928,65,54
18-OBR-YTBW-B5I-1929,77,56
18-OBR-YTBW-B5I-1930,66,53
18-OBR-YTBW-B5I-1931,60,55
18-OBR-YTBW-B5I-1932,62,52
18-OBR-YTBW-B5I-1933,59,52
18-OBR-YTBW-B5I-1934,62,49
18-OBR-YTBW-B5I-1935,60,53
18-OBR-YTBW-B5I-1936,68,55
